dc_growth,weather,flexible_dc,peak_load_gw,peak_avail_cap_gw,reserve_margin_pct,shortage_hours,total_unserved_gwh,max_shortfall_gw,capacity_gap_gw
low,normal,False,185.9,140.0,-3.0,4837,103207.4,50.1,53.0
low,normal,True,184.7,140.0,-3.0,4832,102506.1,48.9,51.8
low,summer_extreme,False,201.9,143.0,-5.9,5208,138227.3,62.9,69.0
low,summer_extreme,True,200.7,143.0,-5.8,5199,137621.2,61.7,67.8
low,winter_extreme,False,185.9,140.0,-5.3,5536,121112.4,50.1,53.0
low,winter_extreme,True,184.7,140.0,-5.2,5539,120358.4,48.9,51.8
medium,normal,False,197.9,140.0,-10.4,6515,170599.9,62.0,65.1
medium,normal,True,195.8,139.5,-10.3,6449,168446.6,59.0,63.0
medium,summer_extreme,False,214.2,143.0,-12.8,6669,208566.5,75.3,81.3
medium,summer_extreme,True,211.7,139.6,-12.7,6592,206552.7,74.9,78.8
medium,winter_extreme,False,198.0,136.7,-12.3,6887,195285.2,62.0,65.1
medium,winter_extreme,True,196.0,138.3,-12.2,6839,193201.2,59.0,63.2
high,normal,False,218.1,139.4,-20.4,8251,321779.6,81.7,85.3
high,normal,True,217.1,141.9,-20.3,8335,317976.0,78.9,84.2
high,summer_extreme,False,234.7,143.0,-22.4,8251,360747.1,96.0,101.8
high,summer_extreme,True,233.1,139.7,-22.2,8335,356943.6,97.0,100.3
high,winter_extreme,False,219.2,136.7,-22.0,8368,351478.7,82.5,86.3
high,winter_extreme,True,217.1,141.9,-21.8,8428,347885.5,78.9,84.2
